Country Name,ISO Country Code,Year,Sector,CO2 Emissions (metric tons),Per Capita Emissions (metric tons per person),Percentage Contribution (%),Data Source
Algeria,DZA,2000,Energy,39985691.92,3.2973,38.54,Synthetic Climate Data v1.0
Algeria,DZA,2000,Transportation,22525270.34,3.2973,21.71,Synthetic Climate Data v1.0
Algeria,DZA,2000,Agriculture,15518055.57,3.2973,14.96,Synthetic Climate Data v1.0
Algeria,DZA,2000,Industry,15026337.18,3.2973,14.48,Synthetic Climate Data v1.0
Algeria,DZA,2000,Waste Management,5606886.88,3.2973,5.4,Synthetic Climate Data v1.0
Algeria,DZA,2000,Residential,5088501.2,3.2973,4.9,Synthetic Climate Data v1.0
Algeria,DZA,2001,Energy,43627902.76,3.3367,40.94,Synthetic Climate Data v1.0
Algeria,DZA,2001,Transportation,20814672.77,3.3367,19.53,Synthetic Climate Data v1.0
Algeria,DZA,2001,Agriculture,16521997.14,3.3367,15.5,Synthetic Climate Data v1.0
Algeria,DZA,2001,Industry,14998502.83,3.3367,14.07,Synthetic Climate Data v1.0
Algeria,DZA,2001,Waste Management,4999317.56,3.3367,4.69,Synthetic Climate Data v1.0
Algeria,DZA,2001,Residential,5603166.69,3.3367,5.26,Synthetic Climate Data v1.0
Algeria,DZA,2002,Energy,41950786.76,3.3251,38.92,Synthetic Climate Data v1.0
Algeria,DZA,2002,Transportation,22666350.21,3.3251,21.03,Synthetic Climate Data v1.0
Algeria,DZA,2002,Agriculture,16082742.51,3.3251,14.92,Synthetic Climate Data v1.0
Algeria,DZA,2002,Industry,16341602.35,3.3251,15.16,Synthetic Climate Data v1.0
Algeria,DZA,2002,Waste Management,5263241.06,3.3251,4.88,Synthetic Climate Data v1.0
Algeria,DZA,2002,Residential,5480688.22,3.3251,5.08,Synthetic Climate Data v1.0
Algeria,DZA,2003,Energy,44237031.74,3.3586,40.03,Synthetic Climate Data v1.0
Algeria,DZA,2003,Transportation,23147228.87,3.3586,20.95,Synthetic Climate Data v1.0
Algeria,DZA,2003,Agriculture,15889213.38,3.3586,14.38,Synthetic Climate Data v1.0
Algeria,DZA,2003,Industry,16660705.91,3.3586,15.08,Synthetic Climate Data v1.0
Algeria,DZA,2003,Waste Management,5114479.79,3.3586,4.63,Synthetic Climate Data v1.0
Algeria,DZA,2003,Residential,5455623.76,3.3586,4.94,Synthetic Climate Data v1.0
Algeria,DZA,2004,Energy,47706754.98,3.4074,41.92,Synthetic Climate Data v1.0
Algeria,DZA,2004,Transportation,19925276.29,3.4074,17.51,Synthetic Climate Data v1.0
Algeria,DZA,2004,Agriculture,17853983.22,3.4074,15.69,Synthetic Climate Data v1.0
Algeria,DZA,2004,Industry,17048227.88,3.4074,14.98,Synthetic Climate Data v1.0
Algeria,DZA,2004,Waste Management,5936761.67,3.4074,5.22,Synthetic Climate Data v1.0
Algeria,DZA,2004,Residential,5320382.05,3.4074,4.68,Synthetic Climate Data v1.0
Algeria,DZA,2005,Energy,46458576.74,3.396,40.36,Synthetic Climate Data v1.0
Algeria,DZA,2005,Transportation,23044606.48,3.396,20.02,Synthetic Climate Data v1.0
Algeria,DZA,2005,Agriculture,16258113.16,3.396,14.12,Synthetic Climate Data v1.0
Algeria,DZA,2005,Industry,17770972.95,3.396,15.44,Synthetic Climate Data v1.0
Algeria,DZA,2005,Waste Management,5851319.37,3.396,5.08,Synthetic Climate Data v1.0
Algeria,DZA,2005,Residential,5729283.12,3.396,4.98,Synthetic Climate Data v1.0
Algeria,DZA,2006,Energy,49656901.01,3.4083,42.35,Synthetic Climate Data v1.0
Algeria,DZA,2006,Transportation,21668059.94,3.4083,18.48,Synthetic Climate Data v1.0
Algeria,DZA,2006,Agriculture,16302086.77,3.4083,13.9,Synthetic Climate Data v1.0
